Rank,Release Group,Worldwide,Domestic,%,Foreign,%
87,Fearless,"$68,072,848","$24,633,730",36.2%,"$43,439,118",63.8%
88,When a Stranger Calls,"$67,062,123","$47,860,214",71.4%,"$19,201,909",28.6%
89,Take the Lead,"$66,499,627","$34,742,066",52.2%,"$31,757,561",47.8%
90,Flags of Our Fathers,"$65,900,249","$33,602,376",51%,"$32,297,873",49%
91,16 Blocks,"$65,664,721","$36,895,141",56.2%,"$28,769,580",43.8%
92,The Benchwarmers,"$64,962,629","$59,843,754",92.1%,"$5,118,875",7.9%
93,Madea's Family Reunion,"$63,368,939","$63,318,000",99.9%,"$50,939",<0.1%
94,Snakes on a Plane,"$62,022,014","$34,020,814",54.9%,"$28,001,200",45.1%
95,My Super Ex-Girlfriend,"$61,108,981","$22,530,295",36.9%,"$38,578,686",63.1%
96,Marie Antoinette,"$60,917,189","$15,962,471",26.2%,"$44,954,718",73.8%
97,Limit of Love: Umizaru,"$60,369,589",-,-,"$60,369,589",100%
98,Invincible,"$58,480,828","$57,806,952",98.8%,"$673,876",1.2%
99,She's the Man,"$57,194,667","$33,741,133",59%,"$23,453,534",41%
100,Lucky Number Slevin,"$56,308,881","$22,495,466",40%,"$33,813,415",60%
101,The Ant Bully,"$55,181,129","$28,142,535",51%,"$27,038,594",49%
102,Stranger Than Fiction,"$53,653,224","$40,660,952",75.8%,"$12,992,272",24.2%
103,The Texas Chainsaw Massacre: The Beginning,"$51,764,406","$39,517,763",76.3%,"$12,246,643",23.7%
104,Doomsday: The Sinking of Japan,"$51,127,401",-,-,"$51,127,401",100%
105,Notes on a Scandal,"$49,814,392","$17,510,118",35.2%,"$32,304,274",64.8%
106,An Inconvenient Truth,"$49,782,012","$24,146,161",48.5%,"$25,635,851",51.5%
107,The Black Dahlia,"$49,332,692","$22,545,080",45.7%,"$26,787,612",54.3%
108,The Last King of Scotland,"$48,618,191","$17,606,684",36.2%,"$31,011,507",63.8%
109,Suite Dreams,"$48,090,431",-,-,"$48,090,431",100%
110,Death Note: The Last Name,"$47,917,637",-,-,"$47,917,637",100%
111,Deck the Halls,"$47,232,776","$35,093,569",74.3%,"$12,139,207",25.7%
112,The Nativity Story,"$46,432,264","$37,629,831",81%,"$8,802,433",19%
113,We Are Marshall,"$43,545,364","$43,545,364",100%,-,-
114,Last Holiday,"$43,451,846","$38,399,961",88.4%,"$5,051,885",11.6%
115,Glory Road,"$42,938,449","$42,647,449",99.3%,"$291,000",0.7%
116,Crank,"$42,931,041","$27,838,408",64.8%,"$15,092,633",35.2%
117,Man of the Year,"$42,472,472","$37,327,390",87.9%,"$5,145,082",12.1%
118,A Good Year,"$42,269,923","$7,459,300",17.6%,"$34,810,623",82.4%
119,200 Pounds Beauty,"$42,013,016",-,-,"$42,013,016",100%
120,Gridiron Gang,"$41,480,851","$38,432,823",92.7%,"$3,048,028",7.3%
121,Thank You for Smoking,"$39,323,027","$24,793,509",63.1%,"$14,529,518",36.9%
122,Scoop,"$39,220,946","$10,525,717",26.8%,"$28,695,229",73.2%
123,Tazza: The High Rollers,"$39,212,715",-,-,"$39,212,715",100%
124,The Wicker Man,"$38,805,380","$23,649,127",60.9%,"$15,156,253",39.1%
125,Basic Instinct 2,"$38,629,478","$5,971,336",15.5%,"$32,658,142",84.5%
126,Accepted,"$38,623,262","$36,323,505",94%,"$2,299,757",6%
127,Day Watch,"$38,411,815",-,-,"$38,411,815",100%
128,Employee of the Month,"$38,395,414","$28,444,855",74.1%,"$9,950,559",25.9%
129,Just My Luck,"$38,159,905","$17,326,650",45.4%,"$20,833,255",54.6%
130,Camping,"$37,912,041",-,-,"$37,912,041",100%
131,The Covenant,"$37,598,767","$23,380,495",62.2%,"$14,218,272",37.8%
132,Miss Potter,"$35,078,241","$3,005,605",8.6%,"$32,072,636",91.4%
133,Bambi and the Great Prince of the Forest,"$34,958,637",-,-,"$34,958,637",100%
134,Love and Honour,"$33,755,574","$60,910",0.2%,"$33,694,664",99.8%
135,Tell No One,"$33,406,992","$6,177,192",18.5%,"$27,229,800",81.5%
136,7 Dwarves: The Forest Is Not Enough,"$32,863,752",-,-,"$32,863,752",100%
137,Dhoom 2,"$32,396,427","$2,643,586",8.2%,"$29,752,841",91.8%
138,Stick It,"$31,976,848","$26,910,736",84.2%,"$5,066,112",15.8%
139,Deutschland. Ein Sommermärchen,"$31,257,991",-,-,"$31,257,991",100%
140,Ultraviolet,"$31,070,211","$18,535,812",59.7%,"$12,534,399",40.3%
141,Doraemon the Movie: Nobita's Dinosaur,"$30,963,292",-,-,"$30,963,292",100%
142,Twosabu ilchae,"$30,622,421",-,-,"$30,622,421",100%
143,Natale a New York,"$30,437,121",-,-,"$30,437,121",100%
144,I Do: How to Get Married and Stay Single,"$30,057,369",-,-,"$30,057,369",100%
145,Pulse,"$29,907,685","$20,264,436",67.8%,"$9,643,249",32.2%
146,Death Note,"$29,630,359",-,-,"$29,630,359",100%
147,An American Haunting,"$29,612,137","$16,298,046",55%,"$13,314,091",45%
148,The Valet,"$29,414,553","$1,926,800",6.6%,"$27,487,753",93.4%
149,Tristan + Isolde,"$28,047,963","$14,734,633",52.5%,"$13,313,330",47.5%
150,Priceless,"$27,949,650","$2,165,188",7.7%,"$25,784,462",92.3%
151,Pokémon Ranger and the Temple of the Sea,"$27,638,625",-,-,"$27,638,625",100%
152,Stay Alive,"$27,298,695","$23,086,480",84.6%,"$4,212,215",15.4%
153,Clerks II,"$26,984,975","$24,148,068",89.5%,"$2,836,907",10.5%
154,The Painted Veil,"$26,910,847","$8,060,487",30%,"$18,850,360",70%
155,Black Book,"$26,768,563","$4,398,532",16.4%,"$22,370,031",83.6%
156,Detective Conan: The Private Eyes' Requiem,"$26,251,232",-,-,"$26,251,232",100%
157,A Prairie Home Companion,"$25,978,867","$20,342,852",78.3%,"$5,636,015",21.7%
158,You Are So Beautiful,"$25,329,576",-,-,"$25,329,576",100%
159,Nada sô sô,"$25,300,338",-,-,"$25,300,338",100%
160,Kabhi Alvida Naa Kehna,"$25,229,168","$3,275,444",13%,"$21,953,724",87%
161,School for Scoundrels,"$23,947,685","$17,807,569",74.4%,"$6,140,116",25.6%
162,Stormbreaker,"$23,937,870","$677,646",2.8%,"$23,260,224",97.2%
163,Il mio miglior nemico,"$23,710,143",-,-,"$23,710,143",100%
164,Valley of the Wolves: Iraq,"$23,465,471",-,-,"$23,465,471",100%
165,Captain Alatriste: The Spanish Musketeer,"$23,321,954",-,-,"$23,321,954",100%
166,"OSS 117: Cairo, Nest of Spies","$23,041,621","$303,543",1.3%,"$22,738,078",98.7%
167,Aquamarine,"$22,989,957","$18,597,342",80.9%,"$4,392,615",19.1%
168,Days of Glory,"$22,963,701","$320,700",1.4%,"$22,643,001",98.6%
169,The Wind that Shakes the Barley,"$22,899,908","$1,836,089",8%,"$21,063,819",92%
170,The Banquet,"$22,598,772",-,-,"$22,598,772",100%
171,Astérix et les Vikings,"$22,501,596",-,-,"$22,501,596",100%
172,Fanaa,"$22,175,908","$2,105,352",9.5%,"$20,070,556",90.5%
173,The Marine,"$22,165,608","$18,844,784",85%,"$3,320,824",15%
174,Unaccompanied Minors,"$21,949,234","$16,655,224",75.9%,"$5,294,010",24.1%
175,Flicka,"$21,893,591","$21,000,147",95.9%,"$893,444",4.1%
176,Rob-B-Hood,"$21,836,580",-,-,"$21,836,580",100%
177,Wolfhound,"$21,573,338",-,-,"$21,573,338",100%
178,Black Christmas,"$21,510,851","$16,273,581",75.7%,"$5,237,270",24.3%
179,Waist Deep,"$21,353,303","$21,344,312",100%,"$8,991",<0.1%
180,ATL,"$21,170,563","$21,170,563",100%,-,-
181,Bobby,"$20,704,591","$11,242,801",54.3%,"$9,461,790",45.7%
182,Beerfest,"$20,387,597","$19,185,184",94.1%,"$1,202,413",5.9%
183,Don,"$19,640,129","$2,223,961",11.3%,"$17,416,168",88.7%
184,Marrying the Mafia III,"$19,606,487",-,-,"$19,606,487",100%
185,Akeelah and the Bee,"$18,948,425","$18,848,430",99.5%,"$99,995",0.5%
186,See No Evil,"$18,564,467","$15,032,800",81%,"$3,531,667",19%
187,Hanbando,"$18,483,140",-,-,"$18,483,140",100%
188,Bandidas,"$18,381,890",-,-,"$18,381,890",100%
189,Friends with Money,"$18,245,244","$13,368,437",73.3%,"$4,876,807",26.7%
190,Krrish,"$18,041,250","$1,430,721",7.9%,"$16,610,529",92.1%
191,Lage Raho Munna Bhai,"$17,897,527","$2,217,562",12.4%,"$15,679,965",87.6%
192,Flyboys,"$17,834,865","$13,090,630",73.4%,"$4,744,235",26.6%
193,Battle of the Warriors,"$17,812,601",-,-,"$17,812,601",100%
194,Memories of Tomorrow,"$17,696,020","$140,200",0.8%,"$17,555,820",99.2%
195,Grave Decisions,"$17,685,834",-,-,"$17,685,834",100%
196,Avenue Montaigne,"$17,574,836","$2,044,858",11.6%,"$15,529,978",88.4%
197,Annapolis,"$17,496,992","$17,127,992",97.9%,"$369,000",2.1%
198,"Paris, je t'aime","$17,471,727","$4,899,278",28%,"$12,572,449",72%
199,Material Girls,"$16,907,725","$11,449,638",67.7%,"$5,458,087",32.3%
200,Zhara,"$16,877,870",-,-,"$16,877,870",100%
201,Hollywoodland,"$16,800,438","$14,426,251",85.9%,"$2,374,187",14.1%
202,American Dreamz,"$16,656,103","$7,191,830",43.2%,"$9,464,273",56.8%
203,Everyone's Hero,"$16,627,188","$14,523,101",87.3%,"$2,104,087",12.7%
204,Trick: The Movie 2,"$16,511,449",-,-,"$16,511,449",100%
205,The Fountain,"$16,468,343","$10,144,010",61.6%,"$6,324,333",38.4%
206,Omkara,"$16,466,144","$1,244,576",7.6%,"$15,221,568",92.4%
207,Star Reformer,"$16,384,700",-,-,"$16,384,700",100%
208,Barefoot Kibong,"$16,096,237",-,-,"$16,096,237",100%
209,Notte prima degli esami,"$15,905,030",-,-,"$15,905,030",100%
210,The Last Kiss,"$15,852,401","$11,614,790",73.3%,"$4,237,611",26.7%
211,Oh-Oku: The Women of the Inner Palace,"$15,688,239",-,-,"$15,688,239",100%
212,Larry the Cable Guy: Health Inspector,"$15,680,099","$15,680,099",100%,-,-
213,Vivah,"$15,670,219",-,-,"$15,670,219",100%
214,An Obscene Confucianist,"$15,608,170",-,-,"$15,608,170",100%
215,The Science of Sleep,"$15,116,179","$4,670,644",30.9%,"$10,445,535",69.1%
216,Little Children,"$14,821,658","$5,463,019",36.9%,"$9,358,639",63.1%
217,Maundy Thursday,"$14,789,716",-,-,"$14,789,716",100%
218,Bhagam Bhag,"$14,730,896","$789,963",5.4%,"$13,940,933",94.6%
219,Turistas,"$14,697,742","$7,027,762",47.8%,"$7,669,980",52.2%
220,My Best Friend,"$14,687,738","$1,426,784",9.7%,"$13,260,954",90.3%
221,Freedomland,"$14,655,628","$12,512,886",85.4%,"$2,142,742",14.6%
222,Hui Buh: Das Schlossgespenst,"$14,434,910",-,-,"$14,434,910",100%
223,Confession of Pain,"$14,182,296",-,-,"$14,182,296",100%
224,Tenacious D in the Pick of Destiny,"$13,924,254","$8,334,575",59.9%,"$5,589,679",40.1%
225,Kisarazu Cats' Eye: Sayonara Game,"$13,916,899",-,-,"$13,916,899",100%
226,One Night with the King,"$13,728,450","$13,395,961",97.6%,"$332,489",2.4%
227,Helen the Baby Fox,"$13,692,896",-,-,"$13,692,896",100%
228,The Reef,"$13,692,409",-,-,"$13,692,409",100%
229,Crayon Shin-chan Movie 23: Ora No Hikkoshi Monogatari - Saboten Daisuugeki,"$13,658,918",-,-,"$13,658,918",100%
230,My Scary Girl,"$13,500,403",-,-,"$13,500,403",100%
231,The History Boys,"$13,407,101","$2,706,659",20.2%,"$10,700,442",79.8%
232,How to Eat Fried Worms,"$13,098,996","$13,040,527",99.6%,"$58,469",0.4%
233,Heaven on Earth,"$13,000,000",-,-,"$13,000,000",100%
234,Animal Crossing,"$12,915,432",-,-,"$12,915,432",100%
235,Slither,"$12,834,936","$7,802,450",60.8%,"$5,032,486",39.2%
236,Bon Cop Bad Cop,"$12,735,126","$12,665,721",99.5%,"$69,405",0.5%
237,Idlewild,"$12,643,027","$12,571,185",99.4%,"$71,842",0.6%
238,Zoom,"$12,506,362","$11,989,328",95.9%,"$517,034",4.1%
239,End of the Spear,"$12,128,105","$11,967,000",98.7%,"$161,105",1.3%
240,Dave Chappelle's Block Party,"$12,051,924","$11,718,595",97.2%,"$333,329",2.8%
241,The Return,"$11,992,014","$7,749,851",64.6%,"$4,242,163",35.4%
242,Azur & Asmar: The Princes' Quest,"$11,939,023",-,-,"$11,939,023",100%
243,Die Wilden Kerle 3,"$11,935,024",-,-,"$11,935,024",100%
244,The Hoax,"$11,772,461","$7,164,995",60.9%,"$4,607,466",39.1%
245,Impy's Island,"$11,661,240",-,-,"$11,661,240",100%
246,After the Wedding,"$11,632,723","$1,534,584",13.2%,"$10,098,139",86.8%
247,Something New,"$11,483,669","$11,468,568",99.9%,"$15,101",0.1%
248,The Ugly Duckling and Me!,"$11,337,246",-,-,"$11,337,246",100%
249,"The Class of Chaos 3,5","$11,247,345",-,-,"$11,247,345",100%
250,Brave Story,"$11,180,888",-,-,"$11,180,888",100%
251,The Nightmare Before Christmas 2006 3D Release,"$11,111,265","$8,700,869",78.3%,"$2,410,396",21.7%
252,Roving Mars,"$10,978,976","$10,407,978",94.8%,"$570,998",5.2%
253,Those Happy Days,"$10,890,811",-,-,"$10,890,811",100%
254,Vampire Cop Ricky,"$10,671,848",-,-,"$10,671,848",100%
255,Olé! 2006 Re-release,"$10,652,727",-,-,"$10,652,727",100%
256,The Night Listener,"$10,639,686","$7,836,393",73.7%,"$2,803,293",26.3%
257,Guseju,"$10,620,575",-,-,"$10,620,575",100%
258,El ratón Pérez,"$10,583,534",-,-,"$10,583,534",100%
259,Bloody Tie,"$10,568,883",-,-,"$10,568,883",100%
260,Udon,"$10,390,863",-,-,"$10,390,863",100%
261,A Dirty Carnival,"$10,371,998",-,-,"$10,371,998",100%
262,The Caiman,"$10,369,396",-,-,"$10,369,396",100%
263,Facing the Giants,"$10,243,159","$10,178,331",99.4%,"$64,828",0.6%
264,The Singer (Quand j'étais chanteur),"$10,205,575",-,-,"$10,205,575",100%
265,Late Bloomers,"$10,204,599",-,-,"$10,204,599",100%
266,Deiji,"$9,988,300",-,-,"$9,988,300",100%
267,Almost Love,"$9,948,504",-,-,"$9,948,504",100%
268,Radio Star,"$9,724,844",-,-,"$9,724,844",100%
269,Bastards,"$9,662,551",-,-,"$9,662,551",100%
270,Nana 2,"$9,619,990",-,-,"$9,619,990",100%
271,Memories of Matsuko,"$9,578,449",-,-,"$9,578,449",100%
272,Hula Girls,"$9,483,095",-,-,"$9,483,095",100%
273,All the King's Men,"$9,451,623","$7,221,458",76.4%,"$2,230,165",23.6%
274,Goya's Ghosts,"$9,448,082","$1,000,626",10.6%,"$8,447,456",89.4%
275,My Wife Is a Gangster 3,"$9,390,670",-,-,"$9,390,670",100%
276,Running Scared,"$9,380,029","$6,855,137",73.1%,"$2,524,892",26.9%
277,The Page Turner,"$9,284,027","$209,659",2.3%,"$9,074,368",97.7%
278,Göta kanal 2 - Kanalkampen,"$9,263,983",-,-,"$9,263,983",100%
279,The Magician,"$9,156,764",-,-,"$9,156,764",100%
280,Baabul,"$9,096,635",-,-,"$9,096,635",100%
281,The Restless,"$9,025,374",-,-,"$9,025,374",100%
282,Comedy of Power,"$8,987,781","$80,550",0.9%,"$8,907,231",99.1%
283,Breaking and Entering,"$8,974,829","$930,469",10.4%,"$8,044,360",89.6%
284,Rang De Basanti,"$8,846,694","$2,197,694",24.8%,"$6,649,000",75.2%
285,Dragon Tiger Gate,"$8,830,435",-,-,"$8,830,435",100%
286,Twice Upon a Time,"$8,791,902",-,-,"$8,791,902",100%
287,"Check It Out, Yo!","$8,692,167",-,-,"$8,692,167",100%
288,The Ode to Joy,"$8,686,010",-,-,"$8,686,010",100%
289,Righteous Ties,"$8,682,703",-,-,"$8,682,703",100%
290,Jean-Philippe,"$8,627,775",-,-,"$8,627,775",100%
291,Anplagghed al cinema,"$8,604,198",-,-,"$8,604,198",100%
292,The Borgia,"$8,454,351",-,-,"$8,454,351",100%
293,"Karol - The Pope, the Man","$8,398,420",-,-,"$8,398,420",100%
294,The Professor and His Beloved Equation,"$8,299,771",-,-,"$8,299,771",100%
295,The Letters,"$8,260,214",-,-,"$8,260,214",100%
296,Hoot,"$8,224,998","$8,117,637",98.7%,"$107,361",1.3%
297,Sunflower,"$8,221,999",-,-,"$8,221,999",100%
298,Water 2006 Re-release,"$8,172,058","$3,278,815",40.1%,"$4,893,243",59.9%
299,Eccezzziunale veramente - Capitolo secondo... me,"$8,150,364",-,-,"$8,150,364",100%
300,Pope John Paul II,"$7,863,060",-,-,"$7,863,060",100%
301,Heartbreak Hotel,"$7,762,765",-,-,"$7,762,765",100%
302,Summer in Berlin,"$7,718,317","$8,340",0.1%,"$7,709,977",99.9%
303,Lump of Sugar,"$7,697,689",-,-,"$7,697,689",100%
304,A Scanner Darkly,"$7,659,918","$5,501,616",71.8%,"$2,158,302",28.2%
305,Piter FM,"$7,595,138",-,-,"$7,595,138",100%
306,Just Love Me,"$7,561,806",-,-,"$7,561,806",100%
307,DOA: Dead or Alive,"$7,516,532","$480,813",6.4%,"$7,035,719",93.6%
308,Art of Fighting,"$7,489,032",-,-,"$7,489,032",100%
309,Running with Scissors,"$7,460,797","$7,022,827",94.1%,"$437,970",5.9%
310,La maison du bonheur,"$7,453,316",-,-,"$7,453,316",100%
311,Midnight Sun,"$7,419,551",-,-,"$7,419,551",100%
312,Phat Girlz,"$7,403,491","$7,061,128",95.4%,"$342,363",4.6%
313,It's a Boy Girl Thing,"$7,385,679",$848,<0.1%,"$7,384,831",100%
314,Trust the Man,"$7,353,118","$1,530,535",20.8%,"$5,822,583",79.2%
315,Hey Good Looking!,"$7,331,960",-,-,"$7,331,960",100%
316,I Served the King of England,"$7,319,210","$617,403",8.4%,"$6,701,807",91.6%
317,Venus,"$7,261,490","$3,347,411",46.1%,"$3,914,079",53.9%
318,One Piece: The Giant Mechanical Soldier of Karakuri Castle,"$7,232,965",-,-,"$7,232,965",100%
319,Golden Door,"$7,226,020","$1,070,769",14.8%,"$6,155,251",85.2%
320,Kamen Rider Kabuto,"$7,208,917",-,-,"$7,208,917",100%
321,Hard Candy,"$7,022,209","$1,024,640",14.6%,"$5,997,569",85.4%
322,Commediasexi,"$7,015,299",-,-,"$7,015,299",100%
323,Crossover,"$7,009,668","$7,009,668",100%,-,-
324,Chaos,"$7,000,248",-,-,"$7,000,248",100%
325,Holli-dei,"$6,993,265",-,-,"$6,993,265",100%
326,Wo ist Fred?,"$6,942,312",-,-,"$6,942,312",100%
327,Quatre étoiles,"$6,903,997",-,-,"$6,903,997",100%
328,The Unknown Woman,"$6,868,786","$152,114",2.2%,"$6,716,672",97.8%
329,Private Fears In Public Places (Coeurs),"$6,855,294","$134,636",2%,"$6,720,658",98%
330,Open Water 2: Adrift,"$6,816,129",-,-,"$6,816,129",100%
331,Okhota na Piranyu,"$6,743,782",-,-,"$6,743,782",100%
332,Kenny,"$6,732,051","$69,220",1%,"$6,662,831",99%
333,Could This Be Love?,"$6,698,019",-,-,"$6,698,019",100%
334,One Missed Call 3: Final,"$6,669,291",-,-,"$6,669,291",100%
335,Tired of Kissing Frogs,"$6,633,548",-,-,"$6,633,548",100%
336,Atomised,"$6,628,558",-,-,"$6,628,558",100%
337,Grandma's Boy,"$6,566,277","$6,090,172",92.7%,"$476,105",7.3%
338,Heist School,"$6,466,096",-,-,"$6,466,096",100%
339,Les aristos,"$6,338,890",-,-,"$6,338,890",100%
340,"Don't Worry, I'm Fine","$6,334,790",-,-,"$6,334,790",100%
341,Inugami-ke no ichizoku,"$6,291,676",-,-,"$6,291,676",100%
342,Running Wild,"$6,245,863",-,-,"$6,245,863",100%
343,Copying Beethoven,"$6,191,746","$384,029",6.2%,"$5,807,717",93.8%
344,The City of Violence,"$6,164,307",-,-,"$6,164,307",100%
345,Van Wilder 2: The Rise of Taj,"$6,086,508","$4,300,645",70.7%,"$1,785,863",29.3%
346,Vitus,"$6,079,556","$187,480",3.1%,"$5,892,076",96.9%
347,Wild Chicks,"$6,053,322",-,-,"$6,053,322",100%
348,Jindabyne,"$6,044,112","$400,438",6.6%,"$5,643,674",93.4%
